categories,id_on_platform,full_categories,name,description,product_id,length,width,height,weight,seller_name,lower_threshold,upper_threshold,coefficient,percent,trading_scheme,delivery_location,price,acquiring,fbo_fulfillment_amount,fbo_direct_flow_trans_min_amount,fbo_direct_flow_trans_max_amount,fbo_deliv_to_customer_amount,fbo_return_flow_amount,fbo_return_flow_trans_min_amount,fbo_return_flow_trans_max_amount,fbs_first_mile_min_amount,fbs_first_mile_max_amount,fbs_direct_flow_trans_min_amount,fbs_direct_flow_trans_max_amount,fbs_deliv_to_customer_amount,fbs_return_flow_amount,fbs_return_flow_trans_min_amount,fbs_return_flow_trans_max_amount,sales_percent_fbo,sales_percent_fbs,sales_percent
"Запчасти, аксессуары для р/у игрушки",107032008,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем SM,"Аккумулятор для радиоуправляемых игрушек Ni-Cd 4.8V 1800 mAh AA Flatpack разъем SM<br/><br/>Избегайте перезарядки и перегрузки. Пожалуйста, прекратите зарядку, когда аккумулятор заряжен на 100%.<br/><br/>Избегайте воздействия высоких температур 140 °F/60 °C. Удерживайте батарею от 5% до 95%.<br/><br/>Не замыкайте аккумулятор.<br/><br/>Случайное короткое замыкание может произойти, когда металлический предмет, такой как зажим для монет, или ручка вызывает прямое соединение положительного (+) и отрицательного (-) клеммы батареи с коротким замыканием клеммы могут повредить батарею.<br/><br/>Наш аккумулятор для радиоуправляемых игрушек - аккумулятор 4.8v; аккумулятор для игрушек 4.8v; 4.8v аккумулятор; аккумулятор ni-cd 4.8v; аккумулятор 4.8 v; аккумулятор аа 4.8v; аккумулятор для радиоуправляемой модели 4.8v; аккумулятор ni-cd 4.8v 1800 mah aa flatpack разъем sm; аккумулятор на машинку на пульте управления 4.8v.",82362,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBS,,590.0000,8,0,0,0,32.45,50,58,58,0,25,70,70,32.45,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032008,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем SM,"Аккумулятор для радиоуправляемых игрушек Ni-Cd 4.8V 1800 mAh AA Flatpack разъем SM<br/><br/>Избегайте перезарядки и перегрузки. Пожалуйста, прекратите зарядку, когда аккумулятор заряжен на 100%.<br/><br/>Избегайте воздействия высоких температур 140 °F/60 °C. Удерживайте батарею от 5% до 95%.<br/><br/>Не замыкайте аккумулятор.<br/><br/>Случайное короткое замыкание может произойти, когда металлический предмет, такой как зажим для монет, или ручка вызывает прямое соединение положительного (+) и отрицательного (-) клеммы батареи с коротким замыканием клеммы могут повредить батарею.<br/><br/>Наш аккумулятор для радиоуправляемых игрушек - аккумулятор 4.8v; аккумулятор для игрушек 4.8v; 4.8v аккумулятор; аккумулятор ni-cd 4.8v; аккумулятор 4.8 v; аккумулятор аа 4.8v; аккумулятор для радиоуправляемой модели 4.8v; аккумулятор ni-cd 4.8v 1800 mah aa flatpack разъем sm; аккумулятор на машинку на пульте управления 4.8v.",82362,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBO,,590.0000,8,0,0,0,32.45,50,58,58,0,25,70,70,32.45,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032009,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Row разъем SM,Аккумулятор Ni-Cd 4.8V 1800 mAh AA Row разъем SM,82368,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBS,,545.0000,7,0,0,0,29.98,50,58,58,0,25,70,70,29.98,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032009,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Row разъем SM,Аккумулятор Ni-Cd 4.8V 1800 mAh AA Row разъем SM,82368,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBO,,545.0000,7,0,0,0,29.98,50,58,58,0,25,70,70,29.98,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032010,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем 5559,Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем 5559,82365,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBS,,600.0000,6,0,0,0,25.08,50,58,58,0,25,70,70,25.08,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032010,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем 5559,Аккумулятор Ni-Cd 4.8V 1800 mAh AA Flatpack разъем 5559,82365,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBO,,600.0000,6,0,0,0,25.08,50,58,58,0,25,70,70,25.08,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032019,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",82379,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBS,,790.0000,11,0,0,0,43.45,50,58,58,0,25,70,70,43.45,50,70,70,16.5,17.5,17.5
"Запчасти, аксессуары для р/у игрушки",107032019,"Toys/Игрушки/Транспорт и радиоуправляемые игрушки/Запчасти, аксессуары для р/у игрушки",Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",82379,2.0,1.0,0.5,0.1,Продавец,0,0,0,0,FBO,,790.0000,11,0,0,0,43.45,50,58,58,0,25,70,70,43.45,50,70,70,16.5,17.5,17.5
"Запчасти для смарт-часов, фитнес-браслета",107073130,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,Аккумуляторная батарея для Apple Watch 1 38mm A1802,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76214,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,751.0000,10,0,0,0,41.31,50,58,58,0,25,70,70,41.31,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",107073131,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 2 38mm A1757, A1816","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76216,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,920.0000,12,0,0,0,50.6,50,58,58,0,25,70,70,50.6,50,70,70,18.5,19.5,19.5
